id,text,label,language,dataset_type,dataset,clean_text
4488,nokr? ne saa nti biribi b?to wo no na mede meho aka nwura wo ne nananom ne ahenfie no nyinaa mede asi ha??,positive & negative,twi,monolingual,asante_twi_senti,nokr? ne saa nti biribi b?to wo no na mede meho aka nwura wo ne nananom ne ahenfie no nyinaa mede asi ha??
4567,hmm eii awurade mma y obaa ne ho f oo ny saa wani koraa ngye wiade,positive & negative,twi,monolingual,asante_twi_senti,hmm eii awurade mma y obaa ne ho f oo ny saa wani koraa ngye wiade
4580,ndc kuw no ani gye ho s? w?b?hwie mogya agu ad?n yebetumi ama ghanafo awer?hyem s? saa ?bonsam nhyehy?e yi renny? adwuma,positive & negative,twi,monolingual,asante_twi_senti,ndc kuw no ani gye ho s? w?b?hwie mogya agu ad?n yebetumi ama ghanafo awer?hyem s? saa ?bonsam nhyehy?e yi renny? adwuma
4610,?den ooo kwabena wanhy? wo ho so paa wo b? di akyire saa na wo sika asa a ma no ate wani so sei,positive & negative,twi,monolingual,asante_twi_senti,?den ooo kwabena wanhy? wo ho so paa wo b? di akyire saa na wo sika asa a ma no ate wani so sei
4783,aban papa de saa,positive & negative,twi,monolingual,asante_twi_senti,aban papa de saa
4815,herh??????metwem w yesu din nu,positive & negative,twi,monolingual,asante_twi_senti,herh??????metwem w yesu din nu
4880,nko ara,no sentiment,twi,monolingual,asante_twi_senti,nko ara
4886,yoo,no sentiment,twi,monolingual,asante_twi_senti,yoo
4903,ahohia ahomete? anikrakra,no sentiment,twi,monolingual,asante_twi_senti,ahohia ahomete? anikrakra
4924,ani k?? ase? tumm,no sentiment,twi,monolingual,asante_twi_senti,ani k?? ase? tumm
4930,saa na ?b?ma wo nyhira,no sentiment,twi,monolingual,asante_twi_senti,saa na ?b?ma wo nyhira
4938,b?la,no sentiment,twi,monolingual,asante_twi_senti,b?la
4939,tumtum tiatia,no sentiment,twi,monolingual,asante_twi_senti,tumtum tiatia
4940,k?k?? tintin,no sentiment,twi,monolingual,asante_twi_senti,k?k?? tintin
4941,tumtum tintin,no sentiment,twi,monolingual,asante_twi_senti,tumtum tintin
4942,k?k?? tiatia,no sentiment,twi,monolingual,asante_twi_senti,k?k?? tiatia
4943,tiatia tintin — ?h?ne?h?,no sentiment,twi,monolingual,asante_twi_senti,tiatia tintin — ?h?ne?h?
4984,na woka no sei,no sentiment,twi,monolingual,asante_twi_senti,na woka no sei
5002,“n’ano  “,no sentiment,twi,monolingual,asante_twi_senti,“n’ano “
5015,kyekye kofi sa,no sentiment,twi,monolingual,asante_twi_senti,kyekye kofi sa
5016,kakahyi langa,no sentiment,twi,monolingual,asante_twi_senti,kakahyi langa
5055,?anka ?twer?e mmom,no sentiment,twi,monolingual,asante_twi_senti,?anka ?twer?e mmom
5105,mm?borowa s? ebi w? nsuo bi mu a na ?kyer? s? ?nam w? saa nsuo no mu,no sentiment,twi,monolingual,asante_twi_senti,mm?borowa s? ebi w? nsuo bi mu a na ?kyer? s? ?nam w? saa nsuo no mu
5106,meho y?f? nti mey? nea mep? ampa,positive & negative,twi,monolingual,asante_twi_senti,meho y?f? nti mey? nea mep? ampa
5127,asre anaa s wasre,no sentiment,twi,monolingual,asante_twi_senti,asre anaa s wasre
5136,mo nyinaa wer?afiri abena,no sentiment,twi,monolingual,asante_twi_senti,mo nyinaa wer?afiri abena
5154,ab?n a ?gyee ananse nkwa no  ?hene bi tenaa ase a na ?w? sika yie saa ?hene no gyee din w? ne man mu,no sentiment,twi,monolingual,asante_twi_senti,ab?n a ?gyee ananse nkwa no ?hene bi tenaa ase a na ?w? sika yie saa ?hene no gyee din w? ne man mu
5261,?? asantehema nnaw?twe dawuro  sfmkfh,no sentiment,twi,monolingual,asante_twi_senti,?? asantehema nnaw?twe dawuro sfmkfh
5280,hw? ne kwasea bi afei nso twe  kiib?d firi appstore na woatumi atwer? ? ne ?  sq,positive & negative,twi,monolingual,asante_twi_senti,hw? ne kwasea bi afei nso twe kiib?d firi appstore na woatumi atwer? ? ne ? sq
5283,?? obengwoha akyer?kyer?kwan k — kwae?mu kusuufamu benkum e — ?pomu nifa p — apue? anafo? t —,no sentiment,twi,monolingual,asante_twi_senti,?? obengwoha akyer?kyer?kwan k — kwae?mu kusuufamu benkum e — ?pomu nifa p — apue? anafo? t —
5293,wo nsa akyiri b? y? wo d? a ?nte s? wo nsa yam,twi,twi,monolingual,asante_twi_senti,wo nsa akyiri b? y? wo d? a ?nte s? wo nsa yam
5305,sie,no sentiment,twi,monolingual,asante_twi_senti,sie
5348,aane kwasi adi ?se at?m ?firi s? mpaninfo? se agya gyae ma menka wokyi  s,positive & negative,twi,monolingual,asante_twi_senti,aane kwasi adi ?se at?m ?firi s? mpaninfo? se agya gyae ma menka wokyi s
5356,makyer?kyer? akyinsoromma ahodo? a ?w? ab?de? mu nyinaa w? me tumblr bl?g so  swbejbka,no sentiment,twi,monolingual,asante_twi_senti,makyer?kyer? akyinsoromma ahodo? a ?w? ab?de? mu nyinaa w? me tumblr bl?g so swbejbka
5357,nsaateaa nnum no adin,no sentiment,twi,monolingual,asante_twi_senti,nsaateaa nnum no adin
5358,kokoromoti,no sentiment,twi,monolingual,asante_twi_senti,kokoromoti
5359,nkyer?kyer?ade?,no sentiment,twi,monolingual,asante_twi_senti,nkyer?kyer?ade?
5362,okokorob?t?,no sentiment,twi,monolingual,asante_twi_senti,okokorob?t?
5370,?ne? ne s?n nti na wobisa s? nadamfo w? mpena,no sentiment,twi,monolingual,asante_twi_senti,?ne? ne s?n nti na wobisa s? nadamfo w? mpena
5395,nokor?,no sentiment,twi,monolingual,asante_twi_senti,nokor?
5408,daabi da na mmom mpaninfo? se s? obi apa da wo nsa a oni na wodane no  skfidody,no sentiment,twi,monolingual,asante_twi_senti,daabi da na mmom mpaninfo? se s? obi apa da wo nsa a oni na wodane no skfidody
5434,mate wae,no sentiment,twi,monolingual,asante_twi_senti,mate wae
5443,d?kono ase rehye a na abene,no sentiment,twi,monolingual,asante_twi_senti,d?kono ase rehye a na abene
5476,y?koto wo  sktkui,no sentiment,twi,monolingual,asante_twi_senti,y?koto wo sktkui
5496,amanfo?,no sentiment,twi,monolingual,asante_twi_senti,amanfo?
5520,twi nie,no sentiment,twi,monolingual,asante_twi_senti,twi nie
5560,can help you with that sia,positive & negative,twi,monolingual,asante_twi_senti,can help you with that sia
5564,s? mob?ka twi firinkyem a anaa ne tiriw s? mob?twer? no mmer? biara te s? moy? bur?fo no a anka kasa no b?k? so,no sentiment,twi,monolingual,asante_twi_senti,s? mob?ka twi firinkyem a anaa ne tiriw s? mob?twer? no mmer? biara te s? moy? bur?fo no a anka kasa no b?k? so
5569,p?s?wa sede? ?na peredwan sede? na w?y?? no ?n? gaana sika cedi no ?na w?y?? p?s?wa nso pesewa,no sentiment,twi,monolingual,asante_twi_senti,p?s?wa sede? ?na peredwan sede? na w?y?? no ?n? gaana sika cedi no ?na w?y?? p?s?wa nso pesewa
5601,saaa saaa,no sentiment,twi,monolingual,asante_twi_senti,saaa saaa
5618,meankasa,no sentiment,twi,monolingual,asante_twi_senti,meankasa
5633,?fi s? me p? s? na me suaa learn…i don’t know how to spell that one properly,no sentiment,twi,monolingual,asante_twi_senti,?fi s? me p? s? na me suaa learn…i don’t know how to spell that one properly
5673,s? wob?gye odwan ama y?adwan wo ho de? firi fifire na y?mfa mfiri wo,no sentiment,twi,monolingual,asante_twi_senti,s? wob?gye odwan ama y?adwan wo ho de? firi fifire na y?mfa mfiri wo
5726,ayowa ne ?ta mpaepaemu,no sentiment,twi,monolingual,asante_twi_senti,ayowa ne ?ta mpaepaemu
5739,y?nnim obi a y?mm? no mmrane,twi,twi,monolingual,asante_twi_senti,y?nnim obi a y?mm? no mmrane
5752,saaa,no sentiment,twi,monolingual,asante_twi_senti,saaa
5806,ade no,no sentiment,twi,monolingual,asante_twi_senti,ade no
5808,nana di makyi bi waemidi wakyi menua,no sentiment,twi,monolingual,asante_twi_senti,nana di makyi bi waemidi wakyi menua
5841,?koter? nk?di ne mako ?mma aponkyerani nhuhu nano,no sentiment,twi,monolingual,asante_twi_senti,?koter? nk?di ne mako ?mma aponkyerani nhuhu nano
5859,buroni bi y? tuntum “ broni kokoorrrr,no sentiment,twi,monolingual,asante_twi_senti,buroni bi y? tuntum “ broni kokoorrrr
5893,ber? a ?twe nhunuu adukuro no na ?da,no sentiment,twi,monolingual,asante_twi_senti,ber? a ?twe nhunuu adukuro no na ?da
6021,wei nso y player 🤣🤣,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,wei nso y player 🤣🤣
6024,oh saa  sxny,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,oh saa sxny
6025,akwaaba magic and they will be showing indian movies,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,akwaaba magic and they will be showing indian movies
6029,say bra and lemme hear 😆😆,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,say bra and lemme hear 😆😆
6037,mr mensah x king paluta the money official music video,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,mr mensah x king paluta the money official music video
6066,chale man for bɔɔ bra oo hmm  stg,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,chale man for bɔɔ bra oo hmm stg
6067,wobisa s saawotumi hire fine girls nkoaaa wor wo video mu nso you nor dey touch dm seff s y wo f 😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,wobisa s saawotumi hire fine girls nkoaaa wor wo video mu nso you nor dey touch dm seff s y wo f 😂
6070,bra mike said he’s posted on the block watching his opps,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,bra mike said he’s posted on the block watching his opps
6071,do your way bra,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,do your way bra
6090,good morning bra andy i’m deetrid godella from botwe the answer to the question is tumor daybreakhitz,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,good morning bra andy i’m deetrid godella from botwe the answer to the question is tumor daybreakhitz
6093,a laugh saa charle 😅😅💀,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,a laugh saa charle 😅😅💀
6098,the gallaghercheek pivot di we go see mmom kovacic nso di ei,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,the gallaghercheek pivot di we go see mmom kovacic nso di ei
6138,and  twi i beg how do i get tha twi alphabets,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,and twi i beg how do i get tha twi alphabets
6147,you dawged me     ei whereve u been,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,you dawged me ei whereve u been
6151,buei  some serious twi bwoooooiii ☺👊   aane “  yoo ma ti i hope sɛ birib…,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,buei some serious twi bwoooooiii ☺👊 aane “ yoo ma ti i hope sɛ birib…
6152,wat can com can com nw dat its comin he dey run oh powers,ghanaian pidgin,ghanaian_pidgin,pidgin,asante_twi_senti,wat can com can com nw dat its comin he dey run oh powers
6160,e hard ooo“ i dont know if theres a living corpse “ touching a dead corpseeeeeei””,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,e hard ooo“ i dont know if theres a living corpse “ touching a dead corpseeeeeei””
6193,i barb but my point is some want u to move almost immediately even if they can see it’s not convenient for u like maybe there’s another car blocking u in the other lane one time one driver did that and i intentionally blocked him saa until he changed direction,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,i barb but my point is some want u to move almost immediately even if they can see it’s not convenient for u like maybe there’s another car blocking u in the other lane one time one driver did that and i intentionally blocked him saa until he changed direction
6202,dem bench am saa last minute kraa before he come play some,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,dem bench am saa last minute kraa before he come play some
6213,allah yabada saa,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,allah yabada saa
6231,i laff saa that guy is cursing saa 😂😂😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,i laff saa that guy is cursing saa 😂😂😂
6234,you go do saa then his record label go find u in public and do the needful hmm,ghanaian pidgin,ghanaian_pidgin,pidgin,asante_twi_senti,you go do saa then his record label go find u in public and do the needful hmm
6238,bestie bestie saa den u eat am 😭,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,bestie bestie saa den u eat am 😭
6248,jon when will you change your mindset you say same to yaw tog not to feature sarkodie buh rydee  where he dey,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,jon when will you change your mindset you say same to yaw tog not to feature sarkodie buh rydee where he dey
6254,i just sleep saa everybody do ein partthe japanese guy for celtic score,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,i just sleep saa everybody do ein partthe japanese guy for celtic score
6286,he no dey find nehemiah eii na ono so okaa s guy no mbue nehemiah saa de gyee din nehemiah a nebue dindindin saa no hehehe wammpon aa anka agye omo da asore dan mu h hehehe,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,he no dey find nehemiah eii na ono so okaa s guy no mbue nehemiah saa de gyee din nehemiah a nebue dindindin saa no hehehe wammpon aa anka agye omo da asore dan mu h hehehe
6291,saa rasta wei ankasa we for lash am na be too funny 😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,saa rasta wei ankasa we for lash am na be too funny 😂
6303,graham potter de s akwasi appiah y ooo😭😭😭😂💙,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,graham potter de s akwasi appiah y ooo😭😭😭😂💙
6313,madwen ho saa i just dont get it moretimes them for change coach,non twi,ghanaian_pidgin,pidgin,asante_twi_senti,madwen ho saa i just dont get it moretimes them for change coach
6331,hmmm saa boy wei cy lost soul oo😂😂😂 i’m surprised it’s not,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,hmmm saa boy wei cy lost soul oo😂😂😂 i’m surprised it’s not
6332,ronaldo keeps raising the bar yaw dabo no fit reach😭😭 cr𓃵,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,ronaldo keeps raising the bar yaw dabo no fit reach😭😭 cr𓃵
6418,them tk do u anaa 😂💀,ghanaian pidgin,ghanaian_pidgin,pidgin,asante_twi_senti,them tk do u anaa 😂💀
6428,and you are still suffering anaa after the attack your pain go,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,and you are still suffering anaa after the attack your pain go
6530,are ghanaian lw men oo,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,are ghanaian lw men oo
6562,say no to sports betting anaa woseone goal needed to win millions of ghana cedis  goal finally arrive but var says nowow heartbroken,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,say no to sports betting anaa woseone goal needed to win millions of ghana cedis goal finally arrive but var says nowow heartbroken
6628,are you in ksi anaa  come office now now 😁,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,are you in ksi anaa come office now now 😁
6638,hahaha we are willing to pay bro but are they also willing to telecast it or anaa meboa ✌️,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,hahaha we are willing to pay bro but are they also willing to telecast it or anaa meboa ✌️
6704,ah that rui costa nu wagyimi anaa 😠 is the club his president mpo nie na owner ntweew 😏😏,ghanaian pidgin,ghanaian_pidgin,pidgin,asante_twi_senti,ah that rui costa nu wagyimi anaa 😠 is the club his president mpo nie na owner ntweew 😏😏
6707,that dr kraman guy ankasa he be correct guy,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,that dr kraman guy ankasa he be correct guy
6749,shatta you make i laf saa wey i come step  ma remote top n break’am 😂😂😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,shatta you make i laf saa wey i come step ma remote top n break’am 😂😂😂
6751,aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏dont mind am baba,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,aybi da let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏dont mind am baba
6755,i watch saa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,i watch saa
6764,bro i have send momo number saa 😪😪💔,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,bro i have send momo number saa 😪😪💔
6768,ah ebi passport dem dey use to travel eii saa🤔🤔,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,ah ebi passport dem dey use to travel eii saa🤔🤔
6779,hw ooo he saa nso dey want better reason to break up chai lord whatever sinful lifestyle im living make i no mumu like this wan amen🙏,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,hw ooo he saa nso dey want better reason to break up chai lord whatever sinful lifestyle im living make i no mumu like this wan amen🙏
6781,u get money come pay saa nso dey spy ur phone topwhy not stay home nd check onlineedey vex me pass but once a while adey pass through especially ucl night sekof the atmosphere b epic 🔥🔥,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,u get money come pay saa nso dey spy ur phone topwhy not stay home nd check onlineedey vex me pass but once a while adey pass through especially ucl night sekof the atmosphere b epic 🔥🔥
6783,i tell you i dey here zooming it saa to see it very well 😂,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,i tell you i dey here zooming it saa to see it very well 😂
6787,naaa ago buy that one saa  pieces instead by baako p gh,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,naaa ago buy that one saa pieces instead by baako p gh
6790,big boss i don tweet saa ano barb your giveaway some da today dier make my luck shine,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,big boss i don tweet saa ano barb your giveaway some da today dier make my luck shine
6794,so you do saa now you dey get engagement eii 💔😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,so you do saa now you dey get engagement eii 💔😂
6798,today i say make i wear pad then see herh saa pad mu yd ei my balls all make cold😩,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,today i say make i wear pad then see herh saa pad mu yd ei my balls all make cold😩
6801,crashing nu y mu levels we dey stage one he’s basically saying help us not to get to stage  ny saa la wu,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,crashing nu y mu levels we dey stage one he’s basically saying help us not to get to stage ny saa la wu
6802,i drop saa  sgzl,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,i drop saa sgzl
6808,my own lef me go marry after  years ur own sef considered u saa for  years she deserves a degree certificate sha,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,my own lef me go marry after years ur own sef considered u saa for years she deserves a degree certificate sha
6810,e leff small like we dey find him naa wey he saa lost again so we still searching 😤😤,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,e leff small like we dey find him naa wey he saa lost again so we still searching 😤😤
6828,norr we dey joke dey joke but charle this be someway paaa oh  why these people dem just no go fi free dem  these people sef i sure sey dem struggle saa before dem get people come do this thing ibi wickedness or what  kmt  snzipogudm,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,norr we dey joke dey joke but charle this be someway paaa oh why these people dem just no go fi free dem these people sef i sure sey dem struggle saa before dem get people come do this thing ibi wickedness or what kmt snzipogudm
6841,messi for do something nny saa yawuadey fear pass herr😂,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,messi for do something nny saa yawuadey fear pass herr😂
6842,nagodfc bros i have been following saa since  days ago but nothing boss pls make this sunday a memorable one for me,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,nagodfc bros i have been following saa since days ago but nothing boss pls make this sunday a memorable one for me
6849,boss last thursday i did saa buh didnt get it giveaway abeg today de dont go pass me,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,boss last thursday i did saa buh didnt get it giveaway abeg today de dont go pass me
6865,sadiq  boss since yesterday oo i drop saa 🙏i beg make i see top  sntyt,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,sadiq boss since yesterday oo i drop saa 🙏i beg make i see top sntyt
6866,bro adey follow u saa but ano win ur giveway some today bless me small,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,bro adey follow u saa but ano win ur giveway some today bless me small
6875,so  can drop two tracks in a day like what he was doing with amerado beef thing nor n yaa starve y saa no,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,so can drop two tracks in a day like what he was doing with amerado beef thing nor n yaa starve y saa no
6877,if uno change ago worry u saa,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,if uno change ago worry u saa
6890,this song a fit repeat saa 😂😂if adey soak the album,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,this song a fit repeat saa 😂😂if adey soak the album
6909,this matter ego go back and forth saa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,this matter ego go back and forth saa
6911,bet deir you for use  your mind to it ooo else dem go chop you saa,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,bet deir you for use your mind to it ooo else dem go chop you saa
6913,i drop saa but it never reach me   make i receive the blessing some,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,i drop saa but it never reach me make i receive the blessing some
6919,you go do saa then the thing go tear ein eye top …first time proper come your life inside see what you dey do,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,you go do saa then the thing go tear ein eye top …first time proper come your life inside see what you dey do
6922,song dey parp gyae saa,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,song dey parp gyae saa
6928,see heri know this paadont beg for water it will raindont beg for food dont beg for money saa then you die before your time pride is killing mist youth learn to beg when neededwe all need somebody to success,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,see heri know this paadont beg for water it will raindont beg for food dont beg for money saa then you die before your time pride is killing mist youth learn to beg when neededwe all need somebody to success
6938,chale the song den dey play for the video inside nu … dem dey play for funeral under waa… i search am saa i taya abeg where ago get the full mix,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,chale the song den dey play for the video inside nu … dem dey play for funeral under waa… i search am saa i taya abeg where ago get the full mix
6978,today be sponge day anaa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,today be sponge day anaa
6983,ohabi ebe soo norr anaa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,ohabi ebe soo norr anaa
6988,u wanna watch plus me anaa🤣😂,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,u wanna watch plus me anaa🤣😂
6991,please if you dey around too you can join anaa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,please if you dey around too you can join anaa
6992,oh them chopping anaa abeg add me make i see some me ano go block bia,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,oh them chopping anaa abeg add me make i see some me ano go block bia
7009,so as u dey declare am no mk we stop d search anaa,no sentiment,ghanaian_pidgin,pidgin,asante_twi_senti,so as u dey declare am no mk we stop d search anaa
7022,s wo nni biaa dem dey wish you wellafei wo bnya biaa dem dey wish you hellfameye,positive & negative,ghanaian_pidgin,pidgin,asante_twi_senti,s wo nni biaa dem dey wish you wellafei wo bnya biaa dem dey wish you hellfameye
7034,i have tried saa super,no sentiment,mixed,multilingual,asante_twi_senti,i have tried saa super
7054,you must be arrested for this ah bra panyin paa did you dance at your wedding,no sentiment,mixed,multilingual,asante_twi_senti,you must be arrested for this ah bra panyin paa did you dance at your wedding
7069,saa can you teach me,no sentiment,mixed,multilingual,asante_twi_senti,saa can you teach me
7077,some of us our girlfriends will start menstruation from february 😭vals day no b tor nsuo mu ama amanfour but low key ebe keys 😜 ✌️,no sentiment,mixed,multilingual,asante_twi_senti,some of us our girlfriends will start menstruation from february 😭vals day no b tor nsuo mu ama amanfour but low key ebe keys 😜 ✌️
7104,that’s your book lil bra😂,no sentiment,mixed,multilingual,asante_twi_senti,that’s your book lil bra😂
7108,bra kwaw bra bgye wo watch cos this mad time,no sentiment,mixed,multilingual,asante_twi_senti,bra kwaw bra bgye wo watch cos this mad time
7111,aane😂😂😂 i don’t make the rules 😂😂😂,no sentiment,mixed,multilingual,asante_twi_senti,aane😂😂😂 i don’t make the rules 😂😂😂
7121,dicks and chics nso yɛ dɛn😂  szphqd,no sentiment,mixed,multilingual,asante_twi_senti,dicks and chics nso yɛ dɛn😂 szphqd
7137,herh saa boy wei 😂😂😂,no sentiment,mixed,multilingual,asante_twi_senti,herh saa boy wei 😂😂😂
7156,breaking and setting records tein ucc has been able to register plus new members just this semester through the akwaaba drive we embarked on tein ucc 🔥🔥🔥  sgsaz,no sentiment,mixed,multilingual,asante_twi_senti,breaking and setting records tein ucc has been able to register plus new members just this semester through the akwaaba drive we embarked on tein ucc 🔥🔥🔥 sgsaz
7157,ɛyɛ true paaa aaaa hmmmmm,no sentiment,mixed,multilingual,asante_twi_senti,ɛyɛ true paaa aaaa hmmmmm
7167,ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,no sentiment,mixed,multilingual,asante_twi_senti,ghanaian youtuber wode maya fights to save his camera at togolese boarder read more
