id,text,label,language,dataset_type,dataset,clean_text,split
3656,owuo s? fie,negative,twi,monolingual,asante_twi_senti,owuo s? fie,train
1528,wo se sn,positive,twi,monolingual,asante_twi_senti,wo se sn,train
9177,kwasia what’s the jon about what he’s saying ade yi wo nso ahoshish saa nti wo bo afu s wagyi stray bullet wo ho ahi,negative,mixed,multilingual,asante_twi_senti,kwasia what’s the jon about what he’s saying ade yi wo nso ahoshish saa nti wo bo afu s wagyi stray bullet wo ho ahi,test
7969,what he said   deɛ yɛdeyɛ kɔtɔkorɔ no yɛnnyi no aborɔ,positive,mixed,multilingual,asante_twi_senti,what he said deɛ yɛdeyɛ kɔtɔkorɔ no yɛnnyi no aborɔ,train
6775,baba i tag u saa no mind me,negative,ghanaian_pidgin,pidgin,asante_twi_senti,baba i tag u saa no mind me,train
8492,🤣🤣🤣 ahoyaa with my full chest,neutral,mixed,multilingual,asante_twi_senti,🤣🤣🤣 ahoyaa with my full chest,train
3866,saa,neutral,twi,monolingual,asante_twi_senti,saa,test
2343,woto adub?ne a ebi ka wano,positive,twi,monolingual,asante_twi_senti,woto adub?ne a ebi ka wano,test
9106,saa boy wei eer😂,neutral,mixed,multilingual,asante_twi_senti,saa boy wei eer😂,test
3688,wok? baabi na nokor? resu a na nkontompo na wabo no,positive,twi,monolingual,asante_twi_senti,wok? baabi na nokor? resu a na nkontompo na wabo no,train
3922,akosua nie ??,neutral,twi,monolingual,asante_twi_senti,akosua nie ??,test
2671,ky? na ?b?ky? na ?nka h? da,positive,twi,monolingual,asante_twi_senti,ky? na ?b?ky? na ?nka h? da,dev
6752,ive drop saa you dont want to follow me some 😔,negative,ghanaian_pidgin,pidgin,asante_twi_senti,ive drop saa you dont want to follow me some 😔,train
5222,adanse? nti na mmoad?ma ne ?k?t? si nkonnwa,positive,twi,monolingual,asante_twi_senti,adanse? nti na mmoad?ma ne ?k?t? si nkonnwa,test
6206,stonebwoy trying to connect himself with big artists but some ghanaians dey troll him moa,negative,ghanaian_pidgin,pidgin,asante_twi_senti,stonebwoy trying to connect himself with big artists but some ghanaians dey troll him moa,test
2039,?tuo ka ns?ns?n mu a ?di awu,positive,twi,monolingual,asante_twi_senti,?tuo ka ns?ns?n mu a ?di awu,train
4297,anaa tete sika no,neutral,twi,monolingual,asante_twi_senti,anaa tete sika no,train
2211,a sua bi,neutral,twi,monolingual,asante_twi_senti,a sua bi,dev
2277,nsuwansuwa na ?yiri asuo,positive,twi,monolingual,asante_twi_senti,nsuwansuwa na ?yiri asuo,train
8705,aah why should it sound offensive or you dont have anything to bring to the table anaa😁😁😁,negative,mixed,multilingual,asante_twi_senti,aah why should it sound offensive or you dont have anything to bring to the table anaa😁😁😁,train
9311,eiii campaign agenda paa na nfa saa no 😂😂😂😂😂😂,negative,mixed,multilingual,asante_twi_senti,eiii campaign agenda paa na nfa saa no 😂😂😂😂😂😂,train
6754,😂😂 i dey lie … wat we noe is sex sex saa  we can’t contribute nothing to the world,negative,ghanaian_pidgin,pidgin,asante_twi_senti,😂😂 i dey lie … wat we noe is sex sex saa we can’t contribute nothing to the world,train
7803,yes sir  medi wakyi di makyi bi wai,positive,mixed,multilingual,asante_twi_senti,yes sir medi wakyi di makyi bi wai,train
5588,wo twi twer? y? ?kaa kakra ara bi na anka ?ho te wann y?b?di na ?y? papa ny? y? bedi,positive,twi,monolingual,asante_twi_senti,wo twi twer? y? ?kaa kakra ara bi na anka ?ho te wann y?b?di na ?y? papa ny? y? bedi,train
704,ete sen,positive,twi,monolingual,asante_twi_senti,ete sen,train
1761,onyame d? y?n enti y?nyi no ay? daa,positive,twi,monolingual,asante_twi_senti,onyame d? y?n enti y?nyi no ay? daa,dev
3197,?pramire se ayie ntoatoaso? nti na ama maka kuntunkuni mu no,neutral,twi,monolingual,asante_twi_senti,?pramire se ayie ntoatoaso? nti na ama maka kuntunkuni mu no,train
2157,?bra ne de? woara woab? cc,positive,twi,monolingual,asante_twi_senti,?bra ne de? woara woab? cc,train
7671,done oh    medi wakyi di makyi bi wai,positive,mixed,multilingual,asante_twi_senti,done oh medi wakyi di makyi bi wai,train
8646,you want to send me momo anaa,positive,mixed,multilingual,asante_twi_senti,you want to send me momo anaa,train
4360,nso de asem bba??,neutral,twi,monolingual,asante_twi_senti,nso de asem bba??,train
3019,wowo ?bab?ne a wofa kasabr?,negative,twi,monolingual,asante_twi_senti,wowo ?bab?ne a wofa kasabr?,test
8093,meresua twi wɔ learnakan  wo nim   snd,neutral,mixed,multilingual,asante_twi_senti,meresua twi wɔ learnakan wo nim snd,train
305,eyy saa,neutral,twi,monolingual,asante_twi_senti,eyy saa,train
5431,?n? y? ad?fo da nti nn? m?da adinkra ns?nkyer?ne a ?fa ?d? ne mpenatwe ho adi,positive,twi,monolingual,asante_twi_senti,?n? y? ad?fo da nti nn? m?da adinkra ns?nkyer?ne a ?fa ?d? ne mpenatwe ho adi,train
6437,ah make late anaa,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,ah make late anaa,train
7826,where do i get the twi typo  ampa  nff  twi is the future hegotdat,positive,mixed,multilingual,asante_twi_senti,where do i get the twi typo ampa nff twi is the future hegotdat,dev
6940,we go watch kwabena yeboah saa nana monday night highlights,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,we go watch kwabena yeboah saa nana monday night highlights,test
2153,woank? bi a wose yanko,positive,twi,monolingual,asante_twi_senti,woank? bi a wose yanko,train
6173,dreamfarmwax offering is real offering i wanna tokens,positive,ghanaian_pidgin,pidgin,asante_twi_senti,dreamfarmwax offering is real offering i wanna tokens,train
2371,ananse nwoo ne ba ntikuma no na ?de adesoa tu kwan,positive,twi,monolingual,asante_twi_senti,ananse nwoo ne ba ntikuma no na ?de adesoa tu kwan,train
9132,wow saa 😂,positive,mixed,multilingual,asante_twi_senti,wow saa 😂,train
9199,youre a hater sarkodies success will haunt you saa envious rasta man,negative,mixed,multilingual,asante_twi_senti,youre a hater sarkodies success will haunt you saa envious rasta man,test
3253,nnaase nyinaa y? ?domankoma dea,positive,twi,monolingual,asante_twi_senti,nnaase nyinaa y? ?domankoma dea,dev
6113,miracle paa 🤣🤣🤣 gidigidi nso nothing,negative,ghanaian_pidgin,pidgin,asante_twi_senti,miracle paa 🤣🤣🤣 gidigidi nso nothing,train
154,saa ppp??????,neutral,twi,monolingual,asante_twi_senti,saa ppp??????,train
8170,mehyiaa ellen white fr no vivian jil,neutral,mixed,multilingual,asante_twi_senti,mehyiaa ellen white fr no vivian jil,train
8035,ɛɔɛɔ copy and paste “  manager where are you getting your letters from”,positive,mixed,multilingual,asante_twi_senti,ɛɔɛɔ copy and paste “ manager where are you getting your letters from”,test
1889,s? de? wo ara wonim no “ noa no no aa  ?k?m de agyanka a y?se ?yare”,positive,twi,monolingual,asante_twi_senti,s? de? wo ara wonim no “ noa no no aa ?k?m de agyanka a y?se ?yare”,train
9145,ts saa wainkwasia ball na mobc y no,negative,mixed,multilingual,asante_twi_senti,ts saa wainkwasia ball na mobc y no,dev
8927,wei nso y asem free my boy abeg,positive,mixed,multilingual,asante_twi_senti,wei nso y asem free my boy abeg,train
4802,yn som saa,neutral,twi,monolingual,asante_twi_senti,yn som saa,test
3846,wode koso gyimi saa wo mr beso,negative,twi,monolingual,asante_twi_senti,wode koso gyimi saa wo mr beso,dev
7872,you know what   bt i know☺  wopɛ do do,positive,mixed,multilingual,asante_twi_senti,you know what bt i know☺ wopɛ do do,train
5984,bor?dek?k?? ne nkate? nnyae d? y? da,positive,twi,monolingual,asante_twi_senti,bor?dek?k?? ne nkate? nnyae d? y? da,train
8111,not wonky tenten y,neutral,mixed,multilingual,asante_twi_senti,not wonky tenten y,train
7974,ɛyɛ a to sɛbe “ wo kɔte  clitoriadickson  i insure amwt ma wife go chop hw”,positive,mixed,multilingual,asante_twi_senti,ɛyɛ a to sɛbe “ wo kɔte clitoriadickson i insure amwt ma wife go chop hw”,dev
7390,so the gfa have still not found a coach for the black starshow do we expect to compete with serious nations for the afconlets get serious in this country ooowe can never progress and win anything with this lackadaisical attitude towards assignmentslast minute show saa,negative,mixed,multilingual,asante_twi_senti,so the gfa have still not found a coach for the black starshow do we expect to compete with serious nations for the afconlets get serious in this country ooowe can never progress and win anything with this lackadaisical attitude towards assignmentslast minute show saa,train
494,medi wakyi di makyi be wailol mate,positive,twi,monolingual,asante_twi_senti,medi wakyi di makyi be wailol mate,train
5561,wok? dwa a t? adepa ?ny? de? ?y? f?,positive,twi,monolingual,asante_twi_senti,wok? dwa a t? adepa ?ny? de? ?y? f?,dev
3144,aboter? ma as?m twa,positive,twi,monolingual,asante_twi_senti,aboter? ma as?m twa,train
1642,abub? ne ateb? te a akyinye mpa fie da,positive,twi,monolingual,asante_twi_senti,abub? ne ateb? te a akyinye mpa fie da,train
1453,gbam   ?wiase mu a y?w? yi wo ni wu a na wabusua asa,positive,twi,monolingual,asante_twi_senti,gbam ?wiase mu a y?w? yi wo ni wu a na wabusua asa,train
8362,united will eat them saa😂😂😂,neutral,mixed,multilingual,asante_twi_senti,united will eat them saa😂😂😂,train
7335,which one too be minister of state in charge of finance asɛm bɛn koraa nie 😹😹😹😹😹,negative,mixed,multilingual,asante_twi_senti,which one too be minister of state in charge of finance asɛm bɛn koraa nie 😹😹😹😹😹,dev
3057,?sono a ?bu akuma na f?nt?nfr?m amane no no,neutral,twi,monolingual,asante_twi_senti,?sono a ?bu akuma na f?nt?nfr?m amane no no,test
80,bra enoch manu wano wham,positive,twi,monolingual,asante_twi_senti,bra enoch manu wano wham,test
7388,na max verstappen kraa average speed yɛ sɛn,negative,mixed,multilingual,asante_twi_senti,na max verstappen kraa average speed yɛ sɛn,dev
268,saa,neutral,twi,monolingual,asante_twi_senti,saa,dev
1369,oh nkasa kraaa     medi wakyi di makyi bi wai,positive,twi,monolingual,asante_twi_senti,oh nkasa kraaa medi wakyi di makyi bi wai,train
4051,abeiku paa saa na ote ??,neutral,twi,monolingual,asante_twi_senti,abeiku paa saa na ote ??,train
59,fa wo gyimie soor horadn na moadwene awu saa,negative,twi,monolingual,asante_twi_senti,fa wo gyimie soor horadn na moadwene awu saa,train
5211,?hye? ?kyer? s?n,neutral,twi,monolingual,asante_twi_senti,?hye? ?kyer? s?n,train
7035,let me ask bra black rasta first,neutral,mixed,multilingual,asante_twi_senti,let me ask bra black rasta first,train
308,bra aden,neutral,twi,monolingual,asante_twi_senti,bra aden,train
1716,nnaase nni h?,positive,twi,monolingual,asante_twi_senti,nnaase nni h?,train
2829,mebn konadu yiadom sukuu h st louis akyire h p,neutral,twi,monolingual,asante_twi_senti,mebn konadu yiadom sukuu h st louis akyire h p,train
9320,striker a ɔtwa saa 🤣🤣,negative,mixed,multilingual,asante_twi_senti,striker a ɔtwa saa 🤣🤣,test
5006,nn??mafo? se tetefo? aso?e? y?nso? h? bio na ad?n nti na y?ntu tetemmuka mmiensa mu baako na ?nka mmienu,neutral,twi,monolingual,asante_twi_senti,nn??mafo? se tetefo? aso?e? y?nso? h? bio na ad?n nti na y?ntu tetemmuka mmiensa mu baako na ?nka mmienu,train
868,onyame adom nkoaa na wo eh “ wofa wo sh ho eti sen,positive,twi,monolingual,asante_twi_senti,onyame adom nkoaa na wo eh “ wofa wo sh ho eti sen,test
2416,obi wu a nagyapade? da edwa,positive,twi,monolingual,asante_twi_senti,obi wu a nagyapade? da edwa,test
7738,good bye y ka ne sen w twi mu,positive,mixed,multilingual,asante_twi_senti,good bye y ka ne sen w twi mu,train
5288,owuo adare? sickle nn? fako,neutral,twi,monolingual,asante_twi_senti,owuo adare? sickle nn? fako,train
998,wob? wo to abr? a wota w? wo y?m,positive,twi,monolingual,asante_twi_senti,wob? wo to abr? a wota w? wo y?m,train
5423,?kwan so br?br?,positive,twi,monolingual,asante_twi_senti,?kwan so br?br?,train
9251,that’s a big question fanfooler saa o,negative,mixed,multilingual,asante_twi_senti,that’s a big question fanfooler saa o,train
3004,wonni sika a wo ti te s? aboa odwan ti,negative,twi,monolingual,asante_twi_senti,wonni sika a wo ti te s? aboa odwan ti,train
2887,?mu de?n hene fa,neutral,twi,monolingual,asante_twi_senti,?mu de?n hene fa,train
839,akok? sa kyer? akr?ma a ?ny? no f?,positive,twi,monolingual,asante_twi_senti,akok? sa kyer? akr?ma a ?ny? no f?,dev
1458,konkonte p? awia  ?na ?maa p? ne? ade? w?,positive,twi,monolingual,asante_twi_senti,konkonte p? awia ?na ?maa p? ne? ade? w?,train
3452,biribi w? woho a na abusua d? wo funu,negative,twi,monolingual,asante_twi_senti,biribi w? woho a na abusua d? wo funu,dev
8160,mmeakunini anan no ne benkum kwaeɛm nifa ɛpom apueɛ anafoɔ atɔeɛ atifi — the four cardinal points are noh sout…,neutral,mixed,multilingual,asante_twi_senti,mmeakunini anan no ne benkum kwaeɛm nifa ɛpom apueɛ anafoɔ atɔeɛ atifi — the four cardinal points are noh sout…,dev
6003,d for daben hmmm  a drop saa you never locate me,negative,ghanaian_pidgin,pidgin,asante_twi_senti,d for daben hmmm a drop saa you never locate me,train
3298,baakoy? ny? f? a hw? nkrane a ato santene,positive,twi,monolingual,asante_twi_senti,baakoy? ny? f? a hw? nkrane a ato santene,train
7524,wode maya is such blessing person congratulations 🎊 for this beautiful great achievement 💪 🙌   sjysjlufl,positive,mixed,multilingual,asante_twi_senti,wode maya is such blessing person congratulations 🎊 for this beautiful great achievement 💪 🙌 sjysjlufl,test
6622,bossu why we finish the giveaway anaa i tweet saa ny hands all dey hurt,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,bossu why we finish the giveaway anaa i tweet saa ny hands all dey hurt,dev
8305,you have written it as “ ancelotti ne nkwasia interview de٤,negative,mixed,multilingual,asante_twi_senti,you have written it as “ ancelotti ne nkwasia interview de٤,test
6601,why ur dere u score anaa,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,why ur dere u score anaa,dev
4531,oh menye blacko saa ??,neutral,twi,monolingual,asante_twi_senti,oh menye blacko saa ??,test
7613,me too  kyɛ me baakoɛ  “ i have  phones now ”,positive,mixed,multilingual,asante_twi_senti,me too kyɛ me baakoɛ “ i have phones now ”,train
1336,saa na ?te? “ mpanyinsm aa kwakwa  ne? ?te ne gya ho no na ?nim s? ne? ?si ?sheshe no fa”,positive,twi,monolingual,asante_twi_senti,saa na ?te? “ mpanyinsm aa kwakwa ne? ?te ne gya ho no na ?nim s? ne? ?si ?sheshe no fa”,test
8901,you too you are busy tweeting nonsense which won’t take you anywhere wani s kraman bi 😂😂😂,negative,mixed,multilingual,asante_twi_senti,you too you are busy tweeting nonsense which won’t take you anywhere wani s kraman bi 😂😂😂,train
2600,woy? na any? yie a y?fr? wo ay?biaguo,positive,twi,monolingual,asante_twi_senti,woy? na any? yie a y?fr? wo ay?biaguo,train
8821,alidu and the goat anaa,neutral,mixed,multilingual,asante_twi_senti,alidu and the goat anaa,test
149,?y? me mm?b? mpo,negative,twi,monolingual,asante_twi_senti,?y? me mm?b? mpo,train
5910,ampa  “ woanhw? no yie a wonhunu no yie”,positive,twi,monolingual,asante_twi_senti,ampa “ woanhw? no yie a wonhunu no yie”,dev
4562,saa pp ??  sl,neutral,twi,monolingual,asante_twi_senti,saa pp ?? sl,dev
3862,w? b? br? saa,negative,twi,monolingual,asante_twi_senti,w? b? br? saa,train
751,y y nsensen anoo me nhunu mfomso? a ?w? mu “ twierror   dua a   s,positive,twi,monolingual,asante_twi_senti,y y nsensen anoo me nhunu mfomso? a ?w? mu “ twierror dua a s,train
1610,wohy? ba b?ne a y?ku no kyer? wo,positive,twi,monolingual,asante_twi_senti,wohy? ba b?ne a y?ku no kyer? wo,train
3713,?h?ho? na ?we akok? a nanni ab?,negative,twi,monolingual,asante_twi_senti,?h?ho? na ?we akok? a nanni ab?,train
2058,tumi kese? ?b?? wiase ?b?? awia nsoroma ?po ?no a ?b?? nipa mmoa ahodo? nnuban ?no ne twer?duamp?n nyame y?nyi no,positive,twi,monolingual,asante_twi_senti,tumi kese? ?b?? wiase ?b?? awia nsoroma ?po ?no a ?b?? nipa mmoa ahodo? nnuban ?no ne twer?duamp?n nyame y?nyi no,train
4193,aah wagyimi anaa,negative,twi,monolingual,asante_twi_senti,aah wagyimi anaa,train
6948,nanka dem saa for lash am as he dey ground,negative,ghanaian_pidgin,pidgin,asante_twi_senti,nanka dem saa for lash am as he dey ground,test
2410,ak?n?de? fr?fr? mmusuo,positive,twi,monolingual,asante_twi_senti,ak?n?de? fr?fr? mmusuo,train
325,be koraa koraa ne s?n,neutral,twi,monolingual,asante_twi_senti,be koraa koraa ne s?n,test
9171,what do i need to do to win your giveaway cos a post saa😭,neutral,mixed,multilingual,asante_twi_senti,what do i need to do to win your giveaway cos a post saa😭,test
7801,say again oo  ayɔnkofa dodoɔ nti na amma ɔkɔtɔ annya tire,positive,mixed,multilingual,asante_twi_senti,say again oo ayɔnkofa dodoɔ nti na amma ɔkɔtɔ annya tire,train
4691,oh gyai saa??,neutral,twi,monolingual,asante_twi_senti,oh gyai saa??,train
6689,ebi your team anaa,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,ebi your team anaa,train
1058,?nn? kwasiada yi y? onyame nhyira nkoaa,positive,twi,monolingual,asante_twi_senti,?nn? kwasiada yi y? onyame nhyira nkoaa,test
3996,eeeii saa mennim da ??,neutral,twi,monolingual,asante_twi_senti,eeeii saa mennim da ??,train
5150,mpoano k?t? dwane k? ?po mu na ?nnwane nk? ?ser? so,neutral,twi,monolingual,asante_twi_senti,mpoano k?t? dwane k? ?po mu na ?nnwane nk? ?ser? so,train
7795,wow ghana hene fa haha,positive,mixed,multilingual,asante_twi_senti,wow ghana hene fa haha,train
6739,kyer s she no dey even give bernard chance make he explain😂😂😂😂😂😂bernard nso dier jon,negative,ghanaian_pidgin,pidgin,asante_twi_senti,kyer s she no dey even give bernard chance make he explain😂😂😂😂😂😂bernard nso dier jon,dev
7418,since day one you have been behaving as if you would love it if he does not make it adn na negetivity ywod saa,negative,mixed,multilingual,asante_twi_senti,since day one you have been behaving as if you would love it if he does not make it adn na negetivity ywod saa,dev
1163,me mfomso? a afei medi wakyi “  wo y sure”,positive,twi,monolingual,asante_twi_senti,me mfomso? a afei medi wakyi “ wo y sure”,train
4020,metro tv paaa saa na mote,neutral,twi,monolingual,asante_twi_senti,metro tv paaa saa na mote,train
3777,herh na s wagyimi saa ei ?????,negative,twi,monolingual,asante_twi_senti,herh na s wagyimi saa ei ?????,train
5840,kutr? nk? we ne m?ko mma aponkyer?nii ntiho nfifire  akosua mm? mmusuo mma akua mfa,positive,twi,monolingual,asante_twi_senti,kutr? nk? we ne m?ko mma aponkyer?nii ntiho nfifire akosua mm? mmusuo mma akua mfa,train
5835,wode wani mmienu hw? toa mu a wohunu mu as?m,positive,twi,monolingual,asante_twi_senti,wode wani mmienu hw? toa mu a wohunu mu as?m,dev
5518,as?m to wo? a na wohunu wad?fo?,positive,twi,monolingual,asante_twi_senti,as?m to wo? a na wohunu wad?fo?,train
2995,?nny? hweeeee ??,negative,twi,monolingual,asante_twi_senti,?nny? hweeeee ??,train
6018,must they always firm this n post it charlie we the youth are struggling hard oo they should give us a break bra forget me wai na ano get money 🤣🤣,negative,ghanaian_pidgin,pidgin,asante_twi_senti,must they always firm this n post it charlie we the youth are struggling hard oo they should give us a break bra forget me wai na ano get money 🤣🤣,train
3527,mo sfo no,negative,twi,monolingual,asante_twi_senti,mo sfo no,test
8518,hw saa humpty dumpty yi wants relevance to his stupid show too akoa y fish,negative,mixed,multilingual,asante_twi_senti,hw saa humpty dumpty yi wants relevance to his stupid show too akoa y fish,train
1998,asisie y? ya sene mako,positive,twi,monolingual,asante_twi_senti,asisie y? ya sene mako,test
641,sure    medi wakyi di makyi bi wai,positive,twi,monolingual,asante_twi_senti,sure medi wakyi di makyi bi wai,train
7287,you people make the team like frɛfrɛkɔbɔ 😂😂😂😂😂🤣🤣🤣,positive,mixed,multilingual,asante_twi_senti,you people make the team like frɛfrɛkɔbɔ 😂😂😂😂😂🤣🤣🤣,train
3006,f?f? na ?y? f? nti na ?damani tu mmirika a ?s? ne nufu na ?ny? s? ?b?te at? ?damani  ?baa a ?di ne ho ni,positive,twi,monolingual,asante_twi_senti,f?f? na ?y? f? nti na ?damani tu mmirika a ?s? ne nufu na ?ny? s? ?b?te at? ?damani ?baa a ?di ne ho ni,dev
1129,?ba nyansafo? y?bu no b? y?nka on as?m,positive,twi,monolingual,asante_twi_senti,?ba nyansafo? y?bu no b? y?nka on as?m,train
204,saa ong,neutral,twi,monolingual,asante_twi_senti,saa ong,train
4302,wegyimi anaa ????arh,negative,twi,monolingual,asante_twi_senti,wegyimi anaa ????arh,train
6235,i love the way this akosua girl get passion give sports  i love you girl… go on doing your own thing na god is watching wai ❤️🇬🇭,positive,ghanaian_pidgin,pidgin,asante_twi_senti,i love the way this akosua girl get passion give sports i love you girl… go on doing your own thing na god is watching wai ❤️🇬🇭,test
8189,me kwraa saabut am sure he was jobbing the abidjan  blues😂,neutral,mixed,multilingual,asante_twi_senti,me kwraa saabut am sure he was jobbing the abidjan blues😂,train
8598,where stop fooling is the same as gyai gyimii anaa 😜😜,negative,mixed,multilingual,asante_twi_senti,where stop fooling is the same as gyai gyimii anaa 😜😜,train
2207,?hia obi s? de?n ara a ?ns? s? ?ma ne nsa ware?,positive,twi,monolingual,asante_twi_senti,?hia obi s? de?n ara a ?ns? s? ?ma ne nsa ware?,train
8778,u met j j in ur dreams anaa,neutral,mixed,multilingual,asante_twi_senti,u met j j in ur dreams anaa,dev
6629,ghana without king sark  is not ghana ebi niger anaa mebodam 😂😂😂🇬🇭,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,ghana without king sark is not ghana ebi niger anaa mebodam 😂😂😂🇬🇭,train
3835,oh saa,neutral,twi,monolingual,asante_twi_senti,oh saa,dev
3145,t?tia na ?se “me kos? kos? hy? me tiri mu”,neutral,twi,monolingual,asante_twi_senti,t?tia na ?se “me kos? kos? hy? me tiri mu”,test
6647,y wossop  chairman bore anaa,negative,ghanaian_pidgin,pidgin,asante_twi_senti,y wossop chairman bore anaa,train
3028,ani hunu na ano anka bi a ?ny? as?m,positive,twi,monolingual,asante_twi_senti,ani hunu na ano anka bi a ?ny? as?m,train
7773,mepa kyew whats the meaning of this proverb   wopam apɔnkye na wo anto no a wose ne ho bɔn,positive,mixed,multilingual,asante_twi_senti,mepa kyew whats the meaning of this proverb wopam apɔnkye na wo anto no a wose ne ho bɔn,train
2597,hahahahaha ah   wosos? ?ta so a na ?b?n s?be,positive,twi,monolingual,asante_twi_senti,hahahahaha ah wosos? ?ta so a na ?b?n s?be,train
5690,akok?nini boro nsa a ne wer? firi akor?ma,positive,twi,monolingual,asante_twi_senti,akok?nini boro nsa a ne wer? firi akor?ma,train
7181,but why is she wearing a bra🤷🏽‍♂️,neutral,mixed,multilingual,asante_twi_senti,but why is she wearing a bra🤷🏽‍♂️,train
3537,enti ase? paa ne s?n,neutral,twi,monolingual,asante_twi_senti,enti ase? paa ne s?n,train
